Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	ID	Side	Parent ID	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse0_030.ome.tiff	b715db52-a7ec-4de5-b367-3c55af0cea44	Annotation	Root		Root object (Image)	Geometry	5541.4	4447.0	1.3221	0.0	0.0				29078	6058	14466	8554	29946674.2	28339.8
mouse0_030.ome.tiff	1454fe98-9a4b-4a57-8da5-2fcb4b572aab	Annotation	root	Right: root	Root	Geometry	7005.9	4105.8	31.2371	359.6834	1290.8097	997.0	0.0		1910	328	890	692	15949769.8	18141.4
mouse0_030.ome.tiff	2be5a0d8-e41e-4ea1-8630-21b197a9d561	Annotation	grey	Right: grey	root	Geometry	6959.4	4029.2	194.9167	597.6287	104.6753	8.0	0.0	997.0	1740	303	862	575	13965607.0	49248.4
mouse0_030.ome.tiff	5989ca3a-81f4-4a71-a9e5-c311a4e921d1	Annotation	CB	Right: CB	grey	Geometry	7200.0	3268.6	19.4597	0.0	85.385	512.0	0.0	8.0	56	48	1	7	7869677.4	31642.1
mouse0_030.ome.tiff	5b4cd650-5278-4db7-998d-1c04afda8649	Annotation	CBX	Right: CBX	CB	Geometry	7210.9	3271.6	0.0	0.0	0.0	528.0	0.0	512.0	53	45	1	7	7758859.9	30081.8
mouse0_030.ome.tiff	2e540b35-9a44-4ce2-897a-96cc73e61579	Annotation	VERM	Right: VERM	CBX	Geometry	6021.3	3172.2	84.1588	0.0	9.8021	645.0	0.0	528.0	32	31	1	0	3467913.4	15932.8
mouse0_030.ome.tiff	32065182-221c-4333-bec8-10ccfb05166e	Annotation	CENT	Right: CENT	VERM	Geometry	5871.4	3419.0	2.4173	114.5986	5.6091	920.0	0.0	645.0	24	23	1	0	2176308.1	9126.8
mouse0_030.ome.tiff	f2870583-54b2-49de-995c-a2442f0a9f8a	Annotation	CENT2	Right: CENT2	CENT	Geometry	5674.0	3739.2	20.7934	0.0	0.0	976.0	0.0	920.0	7	7	0	0	849036.3	5650.8
mouse0_030.ome.tiff	fe3dfc0d-5aa4-4b4f-87da-a66b36430894	Annotation	CENT3	Right: CENT3	CENT	Geometry	5997.7	3214.2	100.5484	54.4068	48.33	984.0	0.0	920.0	17	16	1	0	1327271.8	6716.2
mouse0_030.ome.tiff	79a10d31-0de3-4f39-98ef-f2bf993b4a47	Annotation	CUL	Right: CUL	VERM	Geometry	6274.0	2756.3	2.4173	114.5986	5.6091	928.0	0.0	645.0	8	8	0	0	1291605.3	9826.6
