Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	ID	Side	Parent ID	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse1_034.ome.tiff	cef7b74c-335c-464b-8b2f-fd1d173b79fe	Annotation	Root		Root object (Image)	Geometry	5119.9	3753.9	3.1918	0.0	0.0				26429	8260	9202	8967	31254618.4	34207.7
mouse1_034.ome.tiff	73812c62-f146-4402-8f88-6b071c39e386	Annotation	root	Right: root	Root	Geometry	6728.3	3654.0	10.4437	0.0	0.0	997.0	0.0		6824	5638	473	713	15646415.7	17101.9
mouse1_034.ome.tiff	af09aeee-f70f-429e-a3db-735a632e935a	Annotation	grey	Right: grey	root	Geometry	6707.3	3550.3	2412.4612	10.9778	10.8034	8.0	0.0	997.0	6021	4893	463	665	14217070.3	42239.5
mouse1_034.ome.tiff	2af1fd52-255b-4626-a9f7-dd70885e0bdc	Annotation	CB	Right: CB	grey	Geometry	7117.2	2842.0	148.1107	0.0	0.0	512.0	0.0	8.0	137	137	0	0	6634873.9	24600.7
mouse1_034.ome.tiff	fad1e29c-0112-4e44-88a8-f819ed16cf0b	Annotation	CBX	Right: CBX	CB	Geometry	7127.7	2840.5	55.3464	0.0	0.0	528.0	0.0	512.0	135	135	0	0	6513478.2	25723.0
mouse1_034.ome.tiff	8b32ab0a-bc41-47a5-a704-68c40ce50019	Annotation	VERM	Right: VERM	CBX	Geometry	6204.4	2850.5	572.5845	77.3377	6.5164	645.0	0.0	528.0	112	112	0	0	3089631.1	16149.0
mouse1_034.ome.tiff	e6394398-ef9c-4956-9ea8-3594dc253e54	Annotation	CENT	Right: CENT	VERM	Geometry	5897.2	2970.6	0.0	0.0	0.0	920.0	0.0	645.0	105	105	0	0	2038162.6	9662.7
mouse1_034.ome.tiff	1474d43b-576d-40da-b596-3f4b14b5fff3	Annotation	CENT2	Right: CENT2	CENT	Polygon	5670.7	3120.8	5.0614	211.7876	1729.4634	976.0	0.0	920.0	14	14	0	0	1078425.0	4264.7
mouse1_034.ome.tiff	ae520434-b7de-4287-a1a3-14937965fb29	Annotation	CENT3	Right: CENT3	CENT	Polygon	6151.8	2802.4	1.3221	0.0	201.0654	984.0	0.0	920.0	91	91	0	0	959954.7	7709.4
mouse1_034.ome.tiff	844888e4-3459-40da-8379-a6a49fae082d	Annotation	CUL	Right: CUL	VERM	Geometry	6799.7	2617.8	10.1229	0.0	0.0	928.0	0.0	645.0	7	7	0	0	1051468.5	8661.5
mouse1_034.ome.tiff	8b3c4988-6845-4012-8557-ddec6319ede3	Annotation	CUL4, 5	Right: CUL4, 5	CUL	Geometry	6799.7	2617.8	14.4099	0.0	178.0355	1091.0	0.0	928.0	7	7	0	0	1051468.5	8661.5
mouse1_034.ome.tiff	a629d7db-3abc-4730-804e-e11b8a7b1d6e	Annotation	HEM	Right: HEM	CBX	Geometry	7961.0	2831.5	134.1155	0.0	0.0	1073.0	0.0	528.0	23	23	0	0	3423847.1	13802.4
mouse1_034.ome.tiff	5835dfba-4450-4a87-94cd-ebb634c047bd	Annotation	PFL	Right: PFL	HEM	Geometry	8363.7	3911.2	20242.3961	2373.4103	4860.2312	1041.0	0.0	1073.0	8	8	0	0	248346.3	2642.2
mouse1_034.ome.tiff	8f9e24e6-9261-4615-ad72-f878a8e64830	Annotation	FL	Right: FL	HEM	Polygon	8247.7	4441.7	1.3221	0.0	58.8295	1049.0	0.0	1073.0	0	0	0	0	486939.7	3167.5
mouse1_034.ome.tiff	a3797b5b-5f9e-4c22-be4c-015be34145db	Annotation	SIM	Right: SIM	HEM	Geometry	7708.9	2369.6	0.0	0.0	296.5385	1007.0	0.0	1073.0	3	3	0	0	2180495.5	9260.0
mouse1_034.ome.tiff	a3636c98-ef43-4930-92ab-d6f30be3dbbf	Annotation	AN	Right: AN	HEM	Polygon	8571.1	2742.8	1295.747	10.6705	37.2609	1017.0	0.0	1073.0	12	12	0	0	508065.6	3826.8
mouse1_034.ome.tiff	a4aa2b76-013d-4bc3-b2bc-1323d4692214	Annotation	ANcr1	Right: ANcr1	AN	Polygon	8571.1	2742.8	21451.6626	2373.4103	4860.2312	1056.0	0.0	1017.0	12	12	0	0	508065.6	3826.8
mouse1_034.ome.tiff	7320294c-da06-4959-9c71-19ed77acab29	Annotation	BS	Right: BS	grey	Geometry	6348.9	4170.1	0.0	25.5027	0.0	343.0	0.0	8.0	5884	4756	463	665	7583294.8	29570.0
mouse1_034.ome.tiff	4a781a7c-b9a9-44e9-86c5-5a5bc14dbd4f	Annotation	HB	Right: HB	BS	Geometry	6420.9	4829.6	0.0	573.4897	613.5974	1065.0	0.0	343.0	5860	4733	463	664	5857077.5	24655.1
mouse1_034.ome.tiff	76c10ae9-acbb-4573-8759-5ce08496d14b	Annotation	P	Right: P	HB	Geometry	6309.4	4785.4	843.7783	2545.9565	3527.756	771.0	0.0	1065.0	5808	4724	463	621	5265901.4	19105.0
mouse1_034.ome.tiff	33629825-70e0-4116-b65e-ef9578f44220	Annotation	P-mot	Right: P-mot	P	Geometry	6013.0	4787.5	6.7983	0.0	0.0	987.0	0.0	771.0	4279	3584	310	385	2469509.4	13409.3
mouse1_034.ome.tiff	d92f01ae-cdf0-466a-afb1-e8d32d13f21d	Annotation	PCG	Right: PCG	P-mot	Geometry	5712.6	3995.9	0.0	0.0	0.0	898.0	0.0	987.0	41	26	12	3	438073.1	5748.7
mouse1_034.ome.tiff	9d721efb-fc7e-4049-8706-3be0f6764bba	Annotation	P5	Right: P5	P-mot	Polygon	6560.5	4715.2	10.1229	0.0	0.0	549009215.0	0.0	987.0	381	378	3	0	133371.8	1618.6
mouse1_034.ome.tiff	966cd0de-dc7f-45da-bad3-0e9a4c69023b	Annotation	SUT	Right: SUT	P-mot	Polygon	6832.5	4312.5	1625.1739	32.4971	13.5415	534.0	0.0	987.0	27	27	0	0	65882.7	1196.0
mouse1_034.ome.tiff	6e768e2a-bd07-48c2-913e-d97bd6581b40	Annotation	PRNc	Right: PRNc	P-mot	Geometry	5903.5	5160.7	3.5125	0.0	0.0	1093.0	0.0	987.0	3218	2561	284	373	1423091.4	5917.0
mouse1_034.ome.tiff	c7329509-5d4e-469c-ae73-11f03c989096	Annotation	V	Right: V	P-mot	Polygon	6853.8	4677.4	7.158	0.0	0.0	621.0	0.0	987.0	533	527	5	1	219564.5	1826.7
mouse1_034.ome.tiff	67053670-0fa3-4311-9a8f-bb8efa339e02	Annotation	DTN	Right: DTN	P-mot	Polygon	5395.5	3931.4	151.0457	98.3741	23.7583	880.0	0.0	987.0	8	0	0	8	132163.6	1322.5
mouse1_034.ome.tiff	7941f1dd-8c69-45ad-9076-2ce3b27dbbdd	Annotation	I5	Right: I5	P-mot	Polygon	7095.3	4645.1	23495.3419	2410.1945	5144.545	549009227.0	0.0	987.0	3	3	0	0	50433.8	1151.5
mouse1_034.ome.tiff	6eba602e-6e87-4065-a350-00202a80a5c5	Annotation	Acs5	Right: Acs5	P-mot	Polygon	6457.1	4973.8	15301.6831	1656.4909	3495.2306	549009219.0	0.0	987.0	68	62	6	0	6786.4	305.68
mouse1_034.ome.tiff	4800ece8-1483-4609-a5a9-28fa4d7e0325	Annotation	P-sat	Right: P-sat	P	Geometry	5578.6	4185.5	91.9438	0.0	0.0	1117.0	0.0	771.0	23	23	0	0	287355.3	3978.1
mouse1_034.ome.tiff	76b8b9a8-adfd-4fc2-8c8a-89f5ce58f140	Annotation	LDT	Right: LDT	P-sat	Polygon	5928.8	3817.7	9293.9229	38478.4356	39436.4158	162.0	0.0	1117.0	17	17	0	0	115550.5	1229.5
mouse1_034.ome.tiff	34e36cc8-d494-495c-9f5d-a0fcc38624da	Annotation	NI	Right: NI	P-sat	Polygon	5369.6	4360.6	3.1918	0.0	0.0	604.0	0.0	1117.0	6	6	0	0	134406.7	1969.0
mouse1_034.ome.tiff	8a497d16-585a-4f0e-9aeb-b2424c9d606b	Annotation	RPO	Right: RPO	P-sat	Polygon	5248.3	4693.8	575.5494	77.3377	6.5164	238.0	0.0	1117.0	0	0	0	0	37418.2	779.68
mouse1_034.ome.tiff	3117f91c-436a-410d-9998-67a4f55a0f20	Annotation	P-sen	Right: P-sen	P	Geometry	6872.4	4770.1	1083.6199	10.6705	37.2609	1132.0	0.0	771.0	241	222	16	3	1320823.6	11645.9
mouse1_034.ome.tiff	8fe8fd49-bc1b-4e76-b387-e88e92ceccc8	Annotation	PSV	Right: PSV	P-sen	Polygon	7271.5	4907.5	28.9745	150.0045	0.0	7.0	0.0	1132.0	44	44	0	0	501706.0	3426.2
